seed,episode,start_local,start_idx_abs,static_bps,sizeaware_bps,vwap_bps,static_vs_vwap,sizeaware_vs_vwap,sizeaware_vs_static
1000,219,6496,66975,49.908,47.745,46.308,3.6,1.437,-2.163
1000,220,18647,79126,40.732,45.809,57.115,-16.383,-11.306,5.077
1000,221,22900,83379,24.334,35.417,33.589,-9.255,1.828,11.083
1000,222,7443,67922,59.026,46.182,40.457,18.57,5.725,-12.844
1000,223,4458,64937,58.734,41.321,39.699,19.035,1.622,-17.413
1000,224,1689,62168,43.242,37.632,31.309,11.933,6.323,-5.61
1000,225,10601,71080,33.306,32.991,33.539,-0.232,-0.548,-0.315
1000,226,6653,67132,52.366,36.103,37.42,14.947,-1.317,-16.263
1000,227,12200,72679,137.173,63.19,53.762,83.411,9.429,-73.982
1000,228,15119,75598,24.305,14.549,29.118,-4.813,-14.569,-9.755
1000,229,3486,63965,96.905,62.774,47.008,49.898,15.766,-34.132
1000,230,13785,74264,19.008,9.411,27.679,-8.671,-18.268,-9.597
1000,231,14157,74636,22.883,24.415,25.953,-3.071,-1.539,1.532
1000,232,20237,80716,36.479,31.38,31.061,5.417,0.319,-5.098
1000,233,5284,65763,102.425,48.983,39.864,62.562,9.119,-53.443
1000,234,5944,66423,30.032,35.334,37.276,-7.244,-1.942,5.303
1000,235,20119,80598,31.751,34.183,29.204,2.547,4.979,2.432
1000,236,10168,70647,154.747,45.396,55.895,98.852,-10.499,-109.351
1000,237,14131,74610,21.318,21.457,24.95,-3.632,-3.493,0.139
1000,238,8268,68747,45.923,30.735,32.141,13.782,-1.406,-15.189
1000,239,16428,76907,58.573,27.385,54.666,3.907,-27.281,-31.189
1000,240,21552,82031,144.518,48.541,44.954,99.564,3.587,-95.977
1000,241,1787,62266,54.667,88.84,43.198,11.469,45.642,34.173
1000,242,21319,81798,32.393,45.619,46.1,-13.707,-0.481,13.226
1000,243,24724,85203,34.755,31.591,62.754,-27.999,-31.163,-3.164
1000,244,22414,82893,26.191,31.204,25.874,0.318,5.33,5.013
1000,245,5157,65636,53.408,30.585,39.257,14.151,-8.672,-22.823
1000,246,7321,67800,42.444,35.973,32.768,9.676,3.205,-6.471
1000,247,7331,67810,40.984,31.588,30.722,10.261,0.866,-9.396
1000,248,16669,77148,52.865,22.132,42.793,10.072,-20.661,-30.733
1000,249,9383,69862,62.331,34.291,36.062,26.269,-1.771,-28.04
1000,250,409,60888,33.306,46.27,42.658,-9.352,3.612,12.964
1000,251,11456,71935,105.78,31.472,32.877,72.903,-1.405,-74.308
1000,252,10033,70512,25.62,15.37,33.697,-8.078,-18.328,-10.25
1000,253,10876,71355,72.623,32.47,23.549,49.073,8.921,-40.153
1000,254,395,60874,41.82,42.647,51.723,-9.903,-9.076,0.827
1000,255,1271,61750,232.712,45.307,54.387,178.325,-9.08,-187.405
1000,256,9764,70243,126.489,40.005,46.024,80.465,-6.019,-86.484
1000,257,11294,71773,30.25,30.334,33.237,-2.987,-2.903,0.084
1000,258,5556,66035,82.7,54.431,52.147,30.553,2.284,-28.269
1000,259,4429,64908,34.522,43.114,37.134,-2.612,5.98,8.592
1000,260,15228,75707,88.079,72.373,54.292,33.787,18.081,-15.707
1000,261,9332,69811,31.706,26.717,33.526,-1.82,-6.809,-4.989
1000,262,23675,84154,31.269,32.977,35.081,-3.812,-2.105,1.707
1000,263,17574,78053,37.777,33.672,35.69,2.087,-2.018,-4.105
1000,264,25413,85892,38.651,34.074,33.067,5.584,1.008,-4.576
1000,265,17665,78144,24.417,29.701,39.676,-15.259,-9.975,5.284
1000,266,10430,70909,84.062,43.891,44.893,39.168,-1.003,-40.171
1000,267,2043,62522,22.108,25.19,22.104,0.003,3.086,3.082
1000,268,22249,82728,88.524,30.878,42.657,45.867,-11.779,-57.646
1000,269,2204,62683,31.809,43.048,40.782,-8.972,2.266,11.238
1000,270,2256,62735,35.476,38.188,39.307,-3.831,-1.119,2.712
1000,271,14494,74973,146.073,41.548,45.755,100.318,-4.207,-104.525
1000,272,10370,70849,105.394,52.394,53.89,51.505,-1.496,-53.001
1000,273,3162,63641,30.65,38.171,49.281,-18.631,-11.11,7.521
1000,274,21138,81617,33.019,38.025,38.889,-5.87,-0.863,5.007
1000,275,19938,80417,27.168,34.395,29.835,-2.667,4.56,7.227
1000,276,10083,70562,15.465,11.472,33.044,-17.579,-21.572,-3.993
1000,277,13010,73489,62.683,44.921,50.807,11.876,-5.886,-17.762
1000,278,8043,68522,127.035,50.83,46.042,80.993,4.787,-76.205
1000,279,15257,75736,71.634,53.722,80.171,-8.538,-26.449,-17.912
1000,280,16574,77053,35.845,14.956,28.089,7.756,-13.134,-20.889
1000,281,17562,78041,30.307,29.265,30.194,0.112,-0.929,-1.041
1000,282,3278,63757,33.759,28.637,59.016,-25.257,-30.379,-5.123
1000,283,17176,77655,25.058,33.103,46.013,-20.955,-12.91,8.045
1000,284,25279,85758,34.615,37.178,35.554,-0.938,1.624,2.562
1000,285,19458,79937,31.219,31.219,47.573,-16.354,-16.354,0.0
1000,286,3546,64025,67.322,44.534,42.582,24.741,1.953,-22.788
1000,287,15083,75562,112.31,30.3,37.301,75.009,-7.001,-82.011
1000,288,13248,73727,62.746,42.749,41.526,21.219,1.223,-19.996
1000,289,12142,72621,13.692,3.04,27.338,-13.646,-24.298,-10.652
1000,290,14593,75072,111.424,48.06,58.607,52.817,-10.546,-63.364
1000,291,16085,76564,29.442,28.125,30.177,-0.735,-2.053,-1.318
1000,292,20872,81351,42.388,43.388,45.562,-3.174,-2.175,0.999
1000,293,15181,75660,86.96,1.077,37.576,49.384,-36.499,-85.883
1000,294,8227,68706,50.047,49.109,44.309,5.739,4.8,-0.939
1000,295,3322,63801,23.415,27.523,37.66,-14.245,-10.137,4.108
1000,296,19944,80423,29.728,35.33,30.742,-1.014,4.587,5.602
1000,297,21020,81499,53.704,36.916,45.677,8.027,-8.761,-16.788
1000,298,20301,80780,26.36,29.277,29.263,-2.904,0.013,2.917
1000,299,23547,84026,26.74,33.897,34.769,-8.029,-0.872,7.157
1001,0,23360,83839,28.723,26.871,28.275,0.448,-1.404,-1.852
1001,1,15841,76320,307.857,55.515,67.817,240.04,-12.302,-252.342
1001,2,21210,81689,64.133,18.222,39.034,25.099,-20.812,-45.91
1001,3,405,60884,47.878,45.492,42.874,5.005,2.618,-2.386
1001,4,13135,73614,151.297,47.421,48.035,103.262,-0.614,-103.876
1001,5,4853,65332,176.022,39.781,42.238,133.784,-2.457,-136.242
1001,6,19845,80324,67.938,43.453,48.236,19.703,-4.782,-24.485
1001,7,22184,82663,41.269,39.423,36.912,4.357,2.51,-1.847
1001,8,4657,65136,110.971,40.88,39.726,71.245,1.153,-70.092
1001,9,1970,62449,23.754,21.266,38.708,-14.954,-17.442,-2.488
1001,10,11319,71798,29.896,29.764,33.863,-3.966,-4.098,-0.132
1001,11,5199,65678,130.301,53.747,43.599,86.703,10.148,-76.555
1001,12,12521,73000,108.261,45.065,44.788,63.473,0.277,-63.196
1001,13,16293,76772,109.964,49.742,64.477,45.487,-14.735,-60.221
1001,14,2497,62976,44.54,51.763,50.205,-5.665,1.557,7.222
1001,15,2548,63027,116.703,42.879,44.977,71.726,-2.098,-73.824
1001,16,17555,78034,35.355,13.97,28.316,7.039,-14.346,-21.385
1001,17,3935,64414,63.74,43.922,39.043,24.696,4.879,-19.818
1001,18,2711,63190,48.029,33.229,46.749,1.28,-13.52,-14.8
1001,19,4660,65139,101.636,37.789,35.515,66.121,2.274,-63.847
1001,20,24598,85077,59.544,42.477,36.846,22.698,5.631,-17.067
1001,21,3411,63890,10.528,0.978,31.115,-20.587,-30.137,-9.55
1001,22,21096,81575,41.236,43.057,62.633,-21.397,-19.576,1.821
1001,23,25448,85927,29.428,36.817,38.435,-9.007,-1.617,7.389
1001,24,11675,72154,32.236,27.512,26.368,5.869,1.144,-4.724
1001,25,19786,80265,69.297,44.631,71.547,-2.25,-26.916,-24.666
1001,26,10239,70718,131.056,58.875,53.728,77.328,5.147,-72.181
1001,27,6554,67033,44.934,43.806,40.875,4.059,2.931,-1.128
1001,28,2773,63252,74.487,46.618,50.819,23.667,-4.201,-27.868
1001,29,12686,73165,98.979,11.782,32.98,65.998,-21.198,-87.196
1001,30,25321,85800,29.569,31.284,28.01,1.558,3.274,1.715
1001,31,5458,65937,83.125,39.58,39.792,43.334,-0.212,-43.546
1001,32,7291,67770,53.617,48.164,41.667,11.949,6.496,-5.453
1001,33,9321,69800,29.997,20.588,29.664,0.333,-9.077,-9.41
1001,34,6474,66953,68.649,43.414,50.125,18.524,-6.711,-25.236
1001,35,23612,84091,29.704,19.892,35.737,-6.033,-15.845,-9.812
1001,36,8678,69157,38.538,37.042,36.781,1.758,0.261,-1.497
1001,37,1623,62102,117.249,47.212,46.152,71.097,1.06,-70.037
1001,38,16831,77310,257.112,65.468,58.067,199.045,7.401,-191.644
1001,39,5202,65681,82.666,55.507,46.125,36.541,9.382,-27.159
1001,40,17566,78045,30.056,17.998,32.198,-2.142,-14.2,-12.058
1001,41,6879,67358,36.424,35.305,36.729,-0.305,-1.424,-1.119
1001,42,18355,78834,28.991,30.183,32.175,-3.184,-1.991,1.193
1001,43,24729,85208,41.805,40.703,63.596,-21.791,-22.892,-1.101
1001,44,25789,86268,35.81,38.583,39.6,-3.79,-1.017,2.773
1001,45,20271,80750,26.734,36.434,32.178,-5.444,4.256,9.7
1001,46,11411,71890,35.249,32.748,23.265,11.984,9.483,-2.501
1001,47,2806,63285,84.662,34.19,37.805,46.857,-3.616,-50.473
1001,48,17112,77591,28.526,29.17,33.389,-4.862,-4.219,0.643
1001,49,22994,83473,43.789,43.948,58.122,-14.333,-14.174,0.159
1001,50,2120,62599,202.535,45.843,61.113,141.422,-15.27,-156.692
1001,51,9827,70306,63.972,43.279,39.787,24.186,3.492,-20.693
1001,52,2063,62542,20.806,15.953,23.879,-3.074,-7.927,-4.853
1001,53,8508,68987,40.357,27.008,36.738,3.619,-9.729,-13.348
1001,54,14615,75094,81.828,46.01,49.383,32.446,-3.373,-35.819
1001,55,1834,62313,62.221,43.501,55.474,6.747,-11.973,-18.72
1001,56,2903,63382,137.834,49.936,50.389,87.445,-0.454,-87.898
1001,57,9584,70063,33.813,36.557,32.603,1.209,3.954,2.745
1001,58,19667,80146,137.498,48.039,83.188,54.31,-35.15,-89.46
1001,59,25284,85763,28.556,31.978,34.004,-5.448,-2.026,3.422
1001,60,11063,71542,135.25,40.39,41.132,94.118,-0.742,-94.86
1001,61,10073,70552,66.613,13.165,37.146,29.467,-23.982,-53.448
1001,62,9429,69908,69.743,53.187,48.569,21.174,4.619,-16.555
1001,63,9764,70243,151.737,52.311,46.024,105.713,6.287,-99.426
1001,64,9910,70389,90.204,48.115,45.431,44.773,2.684,-42.089
1001,65,10055,70534,142.159,31.994,38.512,103.647,-6.518,-110.165
1001,66,3580,64059,56.29,45.95,43.051,13.239,2.9,-10.34
1001,67,1172,61651,187.527,42.368,44.821,142.706,-2.453,-145.16
1001,68,15628,76107,128.364,59.156,56.444,71.921,2.712,-69.209
1001,69,9262,69741,106.575,52.033,46.948,59.627,5.085,-54.542
1001,70,6525,67004,96.251,44.088,44.2,52.051,-0.111,-52.163
1001,71,3215,63694,91.869,47.739,56.282,35.587,-8.543,-44.13
